name,website,description,country,city,founded,topic
HomeExchange,https://www.homeexchange.com,"Home Exchange connect like-minded travelers, help them travel anywhere, live like locals, and stay for free.",United States,Hermosa Beach,,Home
HOMECAMP,http://home-camp.com.au,"Homecamp allows campers & travelers to book a private space of land at someone's home to camp, and enables homeowners to make money renting out their property.",Australia,Sydney,2015,Travel
Homeaway,http://www.homeaway.co.uk/,"HomeAway offers a platform in which travelers can browse and book vacation homes, and rental owners can advertise and manage bookings.",United States,Texas,2005,Home
HobbyJoint,http://hobbyjoint.com,"A marketplace for e-Commerce items, users can buy, sell or rent items from around their neighborhoods and around the globe, with no listing fees.",United States,Ashburn,2014,Marketplace
Hirehive,http://hire-hive.com,Hirehive is the world's first peer-to-peer film gear rental platform for filmmakers.,Australia,Brisbane,2011,Hobbies
Hire Space,http://hirespace.com,"Hire Space helps users find and book spaces for events, sports, exhibitions, performances, training, conferences and more.",United Kingdom,London,2012,Events
HIHD AB,http://hinnerdu.se,HIHD AB is a peer-to-peer marketplace for Scandinavia and North Europe.,Sweden,Malmo,2013,House Chores
Heroes Union,http://heroesu.com,"The fastest app to crowdsource any kind of help, Heroes Union connects everyday 'Heroes' with people who need help nearby.",United States,Mountain View,2014,Services
HERO,http://handii.com,"Previously Handii, HERO is an app for the real estate market.",United States,Las Vegas,2012,House Chores
Henchman App,https://www.henchmanapp.com/about,Henchman App will bring you anything you want delivered to you in 60 minutes. They deliver from the top restaurants in London as well as grocery and retail stores.,United Kingdom,London,2012,Delivery
Hedgy,http://hedgy.co,"Hedgy's mission is to create a more open, accountable and distributed financial world using blockchain technologies.",United States,San Francisco,2014,Finance
Heal,http://getheal.com,"Heal brings a licensed, background-checked pediatrician or family doctor to users, on-demand, on their schedule, for $99.",United States,Santa Monica,2014,Services
Haxi,http://haxi.me,"An on-demand peer-to-peer ridesharing network that enables users to share transport, allowing users to become either drivers, passengers or both.",United Kingdom,London,2014,Transport
Hassle.com,http://hassle.com,"A free (to the consumer) destination web site that puts together buyers and sellers of home based services such as cleaners, tutors, personal trainers, and driving instructors. It enables the consumer to search for a vetted provider, read ratings and reviews, and instantly book and pay for a service.",United Kingdom,London,2011,House Chores
Hanintel,http://www.hanintel.com,A Korean hotel booking service that provides support services for travelers by finding reliable and affordable lodging at popular travel destinations.,United States,New York City,2009,Home
Gumtree,https://www.gumtree.com/,"Gumtree.com is the UK's biggest classifieds site, specialising in second-hand goods for sale, motors, property and jobs.",United Kingdom,London,2000,Marketplace
Guild,http://guild.is,"A platform that aims to help build a global community of entrepreneurs and individuals acting as peers, spreading and sharing knowledge about insurance and finding coverage options for the collaborative economy.",United States,New York City,2013,Finance
GuideHop,http://guidehop.com,"A place where professional guides, instructors, and locals can share their their own guided activities and passions, find new ones, and earn income.",United States,Dallas,2011,Services
Guide Me Right,http://guidemeright.com,"A cross-platform community marketplace for making friends through social discovery, allowing users to share local lifestyles with each other.",Italy,Cagliari,2014,Services
Guevara,http://heyguevara.com,Guevara allows users to pool premiums online to save money - any money left in the pool at the end of the year stays with the group and lowers everyone's price next year.,United Kingdom,London,2013,Finance
Gudog,https://gudog.com,An online platform that connects dog owners with experienced pet sitters.,Spain,Madrid,2012,Pets
guardNOW,http://guardnow.com,"A private security franchise that operates nationwide. guardNOW provides private security guards that can be armed, unarmed, on foot, on bike, or patrolling in a vehicle, for use in event management and security.",United States,Los Angeles,2010,Events
Grouplend,http://grouplend.ca,"Canada€__s leading online lending platform that gives Canadians a better way to borrow: one that€__s cheaper, faster, and more convenient than getting a loan from a bank or carrying a balance on a credit card.",Canada,Vancouver,2014,Finance
Groswift,http://www.groswift.com/,A crowd-sourced grocery delivery service that lets users shop local grocery stores using their smartphone or computer.,United States,San Francisco,2015,Delivery
Groowin,http://groowin.com,"The mobile marketplace community that allows every participant to make money and help others. Each time a sale is made, everyone involved in the sale gets paid €__ sellers, buyers, recommenders, inviters and offer creators €__ and, as an additional feature, Groowin makes recurrent donations to nonprofits.",United States,Portland Or,2012,Marketplace
Green Box Batteries,http://betteryinc.com,A conveniently located automated battery vending and recycling swap station that consumers can use to buy and exchange drained rechargeable batteries for freshly recharged batteries.,United States,Tacoma,2013,Technology
GoShare,http://goshare.co,"GoShare connects people who have a pickup truck, van, or SUV with people nearby who need help moving, hauling & delivering large items.",United States,San Diego,2014,Home
Gorilly,http://gorilly.com,A web application that crowdsources great brands' loyal customers to allow potential customers to try before they buy.,United States,San Francisco,2012,Marketplace
GoodSq,http://goodsq.com,Goodsq uses gift inspiration and wishlists to make the exchanging of gifts something more memorable and social.,United States,Fairfax,2012,Services
GoodShuffle,http://goodshuffle.com,"An online neighborhood that lets users rent their items to their neighbors, by safely and securely posing, renting-out, and sharing their household items with their communities.",United States,Washington D.C.,2012,Marketplace
Good Spot,http://good-spot.com,"A unique community marketplace for authentic travel experiences, helping to discover (or rediscover) the world thanks to passionate locals from all countries and cultures, and makes it easy for people to offer and/or book all sorts of activities.",France,Paris,2013,Services
Gone!,http://www.thegoneapp.com,A smartphone app that takes care of the logistics of selling for users - from finding the best listing prices for items to handling all packaging and shipments and collecting money for sales.,United States,San Francisco,2013,Marketplace
GoMore,http://gomore.com,"Scandinavia's largest ridesharing and p2p car-rental service with 250,000+ registered users, which matches car owners with passengers and renters on web and mobile.",Denmark,Copenhagen,2011,Transport
Gomi co,http://get.gomi.co,"A company based around the idea that if a user sees an abandoned item on the side of a street like a couch, TV, dresser, teddy bear, etc. that they can whip out their smartphone, take a picture of and list it, and that anyone nearby can browse and come and pick up the item for free.",Australia,Sydney,2011,Marketplace
Golf Pipeline,http://golfpipeline.com,"A revolutionary concept in the golf industry and social network space, Golf Pipeline allows golfers to book tee times, establish handicaps, track their scores and build a network of friends.",United States,Chicago,2012,Sports
GoLend Internet Finance,http://golend.hk,"GoLend Internet Finance is Hong Kong's first P2P lending platform to offer mortgage loans, connecting borrowers and investors directly.",China,Hong Kong,2013,Finance
Gofer Tribe,http://gofertribe.com,"Gofer Tribe is a marketplace for connecting entrepreneurs and small businesses that are looking for administrative services with top-quality, pre-screened independent personal assistants and administrative service professionals.",United States,Atlanta,2015,House Chores
GoCarShare,http://gocarshare.com,A car sharing website that helps passengers find drivers who are travelling to similar locations and vice versa.,United Kingdom,London,2009,Transport
GoCambio,http://gocambio.com,A simple and completely free way to travel (or simply improve language skills) - users can choose to offer a spare room for guests or find their own spare room and brush up on their language skills along the way.,Ireland,Youghal,2014,Home
go2gether,http://go2gether.ca,A marketplace for drivers to share their empty seats with other commuters travelling in the same direction.,Canada,Vancouver,2012,Transport
Go Halfsy,http://gohalfsy.com/pc/,A community marketplace where people can list and discover items and split the cost by co-owning with someone else.,United States,San Francisco,2014,Marketplace
Glyde,http://glyde.com,"An innovative peer-to-peer e-commerce marketplace that makes it simple to buy and sell new and used goods, such as Apple and Android phones, tablets, laptops, iPods, and video games.",United States,Palo Alto,2006,Technology
Glovo App,http://glovoapp.com,"Glovo App does the urban daily errands that users simply don€__t have the time to do - by connecting users with independent couriers, users can acquire products from any restaurant, coffee place or store in their city, as well as sending urgent packages.",Spain,Barcelona,2014,Delivery
GliAffidabili.it,http://www.gliaffidabili.it,"An online platform which matches demand for assorted tasks (such as babysitting, gardening, plumbing etc) and those who require help. Members are also reviewed and can build their profile and reputation on the site.",Italy,Milan,2008,Services
GiveGetGigs,http://givegetgigs.com,"GiveGetGigs is a peer-to-peer marketplace of freelancers, temps and interns, helping each other get better local jobs through anonymous referrals.",United States,New York City,,Services
Gitoon,http://www.gitoon.com,"Gitoon is a user-generated content publishing platform, formed of a community of talented individuals that have the opportunity of getting their work reviewed, improved and published.",United Kingdom,London,2013,Art
Girl Meets Dress,http://girlmeetsdress.com,"Girl Meets Dress is the leading designer dress rental destination, offering access to a dream wardrobe for all of life's special occasions, by allowing users to hire designer dresses at a fraction of their retail price.",United Kingdom,London,2009,Fashion
Gigit,http://gigit.com,An online platform that allows users to book both well-known and up-and-coming bands for private shows.,United States,Brooklyn,2012,Art
Gifteng,http://gifteng.com,A unique social community to give away things that users no longer need or receive a gifted item for free.,United States,New York City,2013,Marketplace
Gidsy,http://www.gidsy.com,"Gidsy is a community marketplace for authentic experiences. and makes it easy for people to offer and book all sorts of tours, local activities, workshops, and other fun things to do.",Germany,Berlin,2011,Services
GetSafeGo,http://getsafego.com,"GetSafeGo, a brand and service of SmartMove, Inc., founded in 2015, provides a peer-to-peer rideshare marketplace app focused on school commuting.",United States,Mountain View,2015,Kids
GetMyBoat,http://getmyboat.com,"GetMyBoat is changing the way the world goes boating, by powering the largest boat rental marketplace, where users can post their watercraft for rent and charter. From California to Croatia, users can then search, find and book their dreamboat.",United States,San Francisco,2012,Transport
Getaround,http://getaround.com,"Getaround is an on-demand car sharing community, where users can rent cars by the hour from those around them - all using their phone!",United States,San Francisco,2009,Transport
Getable,http://getable.com,"Getable, formerly Rentcycle, serves the $32b construction rental market with mobile tools designed for construction professionals and rental equipment providers.",United States,San Francisco,2010,Tools & Equipment
Get a Drive!,http://www.get-a-drive.com,An online peer-to-peer car-sharing platform where car owners can give their vehicle out on short/medium/long term rentals to those who are seeking the same in exchange for reasonable sums of money.,United States,,2015,Transport
GearLode,http://www.gearlode.com,"GearLode is a peer-to-peer music rental marketplace, where users can create advertising listings of instruments and music gear that other users can rent.",United States,,2013,Tools & Equipment
GearCommons,http://gearcommons.com,"An online platform for peer-to-peer sharing of outdoor equipment, GearCommons aims to connect people who need gear with people who own gear, through lending and borrowing.",United States,Boston,2013,Hobbies
Gear Peer,http://www.gearpeer.com,"Gear Peer is a platform that allows people to rent outdoor sports gear and household items to and from each other, as well as from existing rental shops.",United States,Los Angeles,2013,Hobbies
Gazelle,http://gazelle.com,"Gazelle is a pioneer of a new idea called 'reCommerce' offering a trade-in service for users that want to buy or sell mobile phones, tablets and macbooks.",United States,Boston,2006,Technology
Gay Homestays,http://gayhomestays.com,"Gay Homestays is an online global accommodation network is redefining LGBT travel, by matching LGBT travellers needing affordable accommodation with homeowners who have spare rooms to rent.",United Kingdom,Manchester,2010,Home
Gatheric,http://gatheric.com,Gathericaims to reinvent the way people create events and gatherings by introducing events that only happen when enough guests confirm with pledges.,United States,San Francisco,2014,Events
Gather,http://gatherins.com,"Gather delivers fast, fair, and affordable small business insurance without the overhead of brokers, instead reaching customers through cost effective channels (e.g. targeted social media and partnership marketing).",United States,Boston,2014,Finance
Garajyeri,http://garajyeri.com,Garajyeri is the first P2P carsharing network in Turkey.,Turkey,Istanbul,2015,Transport
fusedrops,http://fusedrops.com,The first local crowdfunding platform dedicated to service design and social innovation projects.,Italy,Milan,2015,Finance
Furnishare,http://furnishare.it,The world's first shared furniture subscription service - their goal is to make quality living affordable & sustainable for all.,United States,New York City,2014,Home
"Funding Wonder, Inc.",http://www.fundingwonder.com,"Funding Wonder, Inc directly connects investors and small businesses to help each other achieve their funding goals.",United States,Miami,2013,Finance
Funding Tree,http://fundingtree.co.uk,The UK's first FCA regulated debt and equity crowdfunding platform.,United Kingdom,London,2013,Finance
Funding Community,http://fundingcommunity.com,"Funding Community connects small businesses with people who want to support their growth, and allows anyone to lend to a small business.",United States,New York City,2012,Finance
Funding Circle,https://www.fundingcircle.com/,Funding Circle is the world€__s leading marketplace exclusively focused on small businesses.,United Kingdom,London,2009,Finance
Fun2Rent,http://fun2rent.com,"Fun2Rent enables owners to safely earn supplemental income by renting out their boats, off-road vehicles, and trailers, with liability insurance provided to both owners and renters, as well as insurance coverage on the rented vehicles.",United States,Silicon Valley,2011,Transport
Fullbox,http://fullbox.mx,Fullbox offers users the opportunity to temporarily furnish a house through a multi user web rental platform.,Mexico,Guadalajara,2012,Storage
Fruitful,http://lovefruitful.com,A platform that enables savers to lend money directly business mortgage borrowers.,United Kingdom,London,2013,Finance
Friendshippr,http://friendshippr.com,"A mobile application for crowd-shipping, which platform works exclusively through a Facebook user's own network, helping turn Facebook friends into couriers.",United Arab Emirates,Dubai,2013,Delivery
Friends of Friends Travel,http://foftravel.com,"Friends of Friends Travel is an online marketplace that allows members to share opportunities for free accommodation, storage space and travel tips.",United Kingdom,London,2012,Services
Freshionup,http://freshionup.com,"A peer-to-peer marketplace hosting, supporting and promoting independent fashion designers and fashion stylists.",Israel,Shoham,2014,Fashion
frents,http://www.frents.com,"Frents.com is a social utility that gives uesr the opportunity to use everything within their circle of friends, such as borrowing and lending items.",Germany,Berlin,2008,Home
Freegler,http://freegler.com,"A collaborative consumption platform that enables users to lend possessions to others for their chosen price. Users can freely list anything from camping and sporting goods, to gardening equipment, kitchen items, and power tools.",Australia,Brisbane,2011,Home
Freecycle,https://www.freecycle.org/,Freecycle is a grassroots and entirely nonprofit movement of people who are giving (and getting) stuff for free in their own towns.,United States,Tucson,2003,Marketplace
Foro,http://theforo.com,Foro makes it easy and safe for university students to buy and sell their items with other students around them.,Canada,Vancouver,2013,Education
ForkingAbout,http://forkingabout.com,ForkingAbout turns homes into restaurants so people can enjoy a home cooked meal anywhere in the world.,Australia,Sydney,2014,Cooking
Foodzai,http://foodzai.com,"A membership-based peer-to-peer food marketplace for discovering cooks and dishes, based on location.",Portugal,Lisbon,2012,Cooking
Foodie Shares,http://foodieshares.com,A private community marketplace for gourmet homemade food. Users can cook and share their dishes with members for free (or for a fee) whenever they feel the urge to make great food. Users can also become members and discover great food made by cooks and be notified of food sharing opportunities as they arise.,United States,Santa Monica,2014,Cooking
Fon,https://corp.fon.com/en,"Fon allows you share a bit of their home WiFi, and in turn get free access at millions of other Fon hotspots worldwide.",Spain,Madrid,2006,Technology
Flytenow,http://flytenow.com,"A platform that connects aviation enthusiasts with local pilots and facilitates ridesharing, making it one of the easiest and most affordable ways to explore the sky.",United States,Mountain View,2013,Transport
Fluc - Food Lovers United Co.,http://www.fluc.com,"Fluc is building the world€__s first social marketplace for consumers to search, discover, and purchase freshly-made food. Whether people desire a cup of coffee or a freshly cooked pacific trout, Fluc powers the connection between consumers and local food merchants.",United States,Menlo Park,2013,Delivery
Floqq,http://floqq.com,The biggest marketplace for online video courses in Latin America.,United States,San Francisco,2012,Education
FlipGive,http://flipgive.com,"A digital fundraising platform for schools, sports, and community initiatives.",Canada,Toronto,2008,Finance
Flip,http://www.leaseflip.co/,An online platform that connects leaseholders who seek to either sublet or assign a residential apartment lease with individuals who are looking for the same.,United States,New York City,2015,Finance
FlightCar,http://flightcar.com,"The first company to establish a marketplace that allows vehicle owners parking at the airport to rent out their cars to other travellers. Owners get free airport parking, and renters choose from a wider selection of vehicles at lower prices than those offered by the major car rental chains.",United States,Boston,2012,Transport
Fleety,http://www.fleety.com.br,"The first peer-to-peer carsharing marketplace in Latin America, allowing car owners to rent out their cars.",Brazil,Curitiba,2013,Transport
FlatClub,http://www.flat-club.com,A marketplace for trusted medium term stays - from a few weeks to a few months.,United Kingdom,London,2010,Home
Fixility,http://www.fixility.com/,An on-demand website that connects consumers with their local home repair professionals.,United States,New York City,2014,Services
fivesquid.com,http://www.fivesquid.com,An online community where people can share their skills and services on individual tasks for _ì5.,United Kingdom,,2011,Services
Fiverr,http://fiverr.com,"Browse. Buy. Done.' Fiverr gives users instant access to millions of $5 gigs from people who love what they do. It€__s the easiest way for individuals and businesses to get everything done, at unbeatable value.",United States,New York City,2010,Services
Fireflies,http://firefliesapp.com,A neighbor to neighbor delivery service that creates a decentralised marketplace for students - users can request any item and the app finds someone close by to drop it off.,United States,Boston,2014,Delivery
Finsquare,http://finsquare.fr,"A web platform allowing individuals to lend to local companies to finance their development, providing a positive impact on the economy for lenders.",France,Paris,2014,Finance
Finefectivo,http://finefectivo.com/,Finefectivo is a provider of consumer finance options and helps users advance through ready access to credit.,Philippines,Manila,2012,Finance
Findyr,http://findyr.com,"Findyr is a global information marketplace. It is the only platform that enables people to task data collectors, information gatherers and content creators anywhere in the world. Anyone can find new information, on demand.",United States,New York City,2014,Services
FindYahan,http://findyahan.com,FindYahan is a location-based discovery platform that connects skilled individuals and home businesses with their target customers easily and effectively.,India,Gurgaon,2013,Education
FilKhedma,http://filkhedma.com,"FilKhedma provides maintenance services for homes and offices in Egypt. FilKhedma provides a quick and easy booking process through its website or call center and recruits experienced technicians who have worked before in hotels, facility management and freelance. All technicians have to pass rigorous interviewing and background checking as well as customer service and quality training. Technicians are also supervised by experienced engineers.",Egypt,Cairo,,Services
Ficus - Share Your Wisdom,http://tryficus.com,"Ficus was born to create a community that can share wisdom with the use of technology, connecting individuals with hunger to learn and share knowledge.",Mexico,Mexico City,2014,Education
Fetch Storage,http://fetchstorage.com,"Fetch picks up items from users homes and stores it in conveniently-located spaces, until the user requires it again - at which time, the item is delivered back for free.",United States,Boston,2010,Storage
Fetch,http://fetchkc.com,"Fetch has reimagined the way local goods are transported around a city by enabling anyone to get any product delivered in under one hour. Fetch's revolutionary on-demand delivery platform connects customers with personal shoppers, who purchase and deliver items from any restaurant or store.",United States,Kansas City,2012,Delivery
Feastly,http://eatfeastly.com,"Feastly is working to rebuild social capital one home-cooked meal at a time. Their online marketplace lets cooks offer food-based experiences in their homes to groups of wanting Feasters. From a traditional Korean barbecue to a TED-themed dinner salon, Feastly's platform creates an instant, table-wide community with three simple ingredients: a comfortable home setting, good food, and real people.",United States,San Francisco,2012,Cooking
favourful,http://favourful.com,"favourful is a mobile app that challenges the way that consumers use social networks, making them more real and interconnected by exchanging favours.",United Kingdom,London,2014,House Chores
FavorLooper,http://favorlooper.com,A peer-to-peer delivery service with no delivery fee or minimum spends.,United States,Phoenix,2014,House Chores
Fasten,http://fasten.com,"Fasten is the ridesharing industry€__s newest prodigy, founded from one of the largest taxi companies in the world, with 16 years of market experience.",United States,Boston,2014,Transport
Fashion Project,http://fashionproject.com,"Fashion Project is the first designer shopping experience featuring exclusive apparel, shoes and accessories that are donated by style icons, celebrities and philanthropists from around the world. The majority of each sale is donated to charity.",United States,Boston,2011,Fashion
Fashion Curated,http://fashioncurated.com,Fashion Curated is an online rental gallery focusing on special occasion accessories from the world's most coveted luxury designers.,United States,New York City,2014,Fashion
farmhopping,http://farmhopping.com,farmhopping is an online platform where farmers can have personal storefronts where they can sell their produce and interact with their customers directly.,United Kingdom,London,2012,Farm Products
FabTask,http://www.fabtask.com,"A new way to hire local services: fully vetted, entrepreneurially-minded professionals contribute their time and skills to help busy people find extra time in their days to do the things they love.",United States,New York City,2014,House Chores
Exponchal,http://exponchal.com,Exponchal is a crowdfunding service for business loans. Customers apply online for a business loan while other members review the business loan requests. Members may choose to provide funding to businesses of their choice in varying amounts. The firm earns fees when the loan is funded by reducing fees from the loan proceeds and for servicing the loans.,United States,Austin,,Finance
Exec,http://iamexec.com,"Exec is a house cleaning service that users can book instantly from an iPhone or the web. It services San Francisco, Seattle, San Diego, Los Angeles, New York, Boston, Chicago, and Washington DC with plans to expand to other cities in the U.S.",United States,San Francisco,,House Chores
excurj.,http://excurj.com,An online platform where users can find local tour guides to give them a true experience of their visited places.,Ghana,Amman,2015,Services
eWorky,http://www.eworky.com,eWorky is an internet start-up meeting a simple need experienced by the founders themselves: access to Wi-Fi hotspots and meeting or training rooms in different cities.,France,Paris,2011,Business
Eventdoo,http://www.eventdoo.com,Eventdoo is a collaborative ticketing platform.,Argentina,Buenos Aires,2012,Events
Euro Freelancers,http://www.euro-freelancers.eu,"Euro Freelancers is a synergic network of independent EU affairs consultants and investors specialised in sustainability, collaborative innovation and scalable crowd-sourcing solutions.",Belgium,Brussels,2010,Business
Etsy,http://www.etsy.com,"Etsy is a website that focuses on handmade and vintage items, as well as art and craft supplies. The items include art, photography, clothing, jewelry, edibles, quilts, and toys. Etsy is modeled after open craft fairs that give sellers personal storefronts where they can list their goods. The company charges users a flat listing fee (of 20 cents per items), and takes a commission of 3.5% off all items sold.",United States,New York City,2005,Arts & Crafts
Etece,http://etece.es,ETEC is a Spanish TaskRabbit-style startup that offers an online platform for people who need a job doing but don 't have the time to do it themselves.,Spain,Madrid,2012,Home
EnvoyNow,http://www.envoynow.co/,"Envoy is a crowd-sourced, on-demand food delivery service that enables students to order and get food delivered from any restaurant on campus. Students can track their food being prepared and delivered. Users can also find out exactly which student is going to pick up their order and bring it to them. At the end of the day, individuals can tip and rate their deliveries.",United States,Los Angeles,2013,Delivery
Entrusters,http://entrusters.com,Entrusters offers global peer-to-peer delivery by a community of trusted travelers.,United States,Los Angeles,2014,Travel
Endurance Lending Network,http://www.enduranceln.com,"Endurance Lending Network is a web-based lender focused on small and medium businesses in the United States. They provide loans of between $25,000 and $500,000 to high-quality entrepreneurs looking for expansion capital, equipment purchases or more general needs.",United States,San Francisco,2011,Finance
Encontre um Nerd,http://encontreumnerd.com.br,Encontre um Nerd connects users with on-demand 'nerds' to offer technical assistance wherever and whenever they are needed.,Brazil,Curitiba,2014,Services
Eggzy,http://eggzy.net,"Eggzy.net is a marketplace where backyard flock owners and people seeking fresh, local eggs can connect.",United States,Philadelphia,2009,Farm Products
eDivv,http://edivv.com,"eDivv is an online peer to peer marketplace for trading beauty and fashion products. The beauty subscription box industry has led to an influx of extra beauty products, many of which end up going to waste. Divv lets users trade those extra products for items of interest.",United States,New York City,2014,Fashion
Eden,http://edentech.co,"Eden is the best way to solve technology frustrations in the home. With just a click, Eden will dispatch a friendly and highly rated tech wizard to a home to address any tech-related need - from wifi issues to TV mounting.",United States,San Francisco,2015,Services
Ecohabitude,http://ecohabitude.com,"Ecohabitude is an online marketplace to buy, sell and source eco-friendly brands, materials & custom work. Its community is made up of buyers, sellers and makers that are committed to being socially responsible.",United States,New York City,2013,Fashion
Echo,http://economyofhours.com/,"Echo is more than just a trading network for Britain€__s communities to help them thrive by forging new relationships between the people, organisations and businesses.",United Kingdom,London,2014,House Chores
eBay,http://www.ebay.com,"eBay, an online auction and e-commerce marketplace, enables people and businesses to buy and sell a wide variety of goods and services.",United States,San Jose,1995,Marketplace
EatWith,http://www.eatwith.com/,"EatWith family is a mix of product thinkers, engineers and food lovers from around the globe.",Israel,Tel Aviv,2012,Cooking
Eatnjoy,http://eatnjoy.se,Eatnjoy is the first Swedish market place for meal sharing. Users can arrange a dinner event in their own home or book a skilled home cook to come to their place.,Sweden,Solna,,Cooking
easyCar Club,http://easycarclub.com/,"easyCar Club lets car owners make money by renting out their cars, and helps drivers save money through great value, convenient, local car hire.",United Kingdom,London,2012,Transport
du+ch,http://letsdutch.com,du+ch is a community marketplace with a social platform that makes it easy to share the cost of group experiences with others.,United States,New York City,2014,Services
DropTrip,http://droptrip.com,"DropTrip is the world's first crowdsourced shipping social network. Their dedicated team is a passionate mix of entrepreneurs, travellers, and technology industry veterans. They are changing the way people, businesses, and communities around the world ship and receive the stuff they want.",United States,Bozeman,2011,Delivery
Dropprice,http://dropprice.com,"Dropprice is a collaborative way for moms to shop, share, and save for their children. The price drops as moms share products with other moms.",United States,San Francisco,2014,Kids
Dropis,http://dropis.com,"With Dropis users can buy and sell anywhere without using money. The €__dropis€__ is an online credit that cannot be bought: users can only earn it by sharing something with others. It€__s the currency of sharing, a new way to buy and sell without using money.",Italy,Rome,,Marketplace
DRESSBOOM,http://dressboom.com,The new way to shop and sell preloved fashion.,United Kingdom,London,2013,Fashion
Dreamroomer,http://dreamroomer.com,Dreamroomer.com €__ the first-ever online show-window of tenants. Their website is a new user-friendly way for tenants to advertise themselves while homeowners can choose the residents of their dreams.,Russian Federation,Moscow,2013,Home
Double,http://askdouble.com,Double provides an on-demand business assistant who takes care of administrative tasks.,China,Hong Kong,,Business
Domytask.se,http://www.domytask.se,Domytask.se is a peer-to-peer online marketplace for errands and services where people who do not have the time or interest can outsource small tasks and jobs to people in their neighbourhood who want to earn some extra money.,Sweden,Stockholm,2013,House Chores
Dolly,http://getdolly.com,"A self-styled 'move anything' app, allowing users to load, haul and deliver just about anything, whenever the user needs it!",United States,Seattle,2013,Home
doido,http://www.getdoido.com,doido is a marketplace where busy people and small businesses can find reliable and flexible doers close by to help them with their tasks.,Germany,Munich,,House Chores
DogVacay,http://dogvacay.com/,"DogVacay is the leading online service connecting pet owners with over 20,000 loving sitters across the U.S. and Canada.",United States,Santa Monica,2012,Pets
DogHero,http://doghero.com.br,"DogHero is a peer-to-peer pet boarding marketplace that connects pet owners with trusted sitters. Using technology and design they are redesigning how pet owners think about boarding their pets while they are away, an experience that before was very painful and troublesome. They want to revolutionize the pet services industry in Brazil, Latin America and the world.",Brazil,Sao Paulo,2014,Pets
DoggyBnB,http://www.doggybnb.com,DoggyBnB is a mobile app that helps pet owners find dog-sitters through friends and social connections. DoggyBnB takes the guesswork out of finding a dog-sitter by using members' personal relationships to create trusted networks and connections between dog owners and sitters.,United States,New York City,2013,Pets
DogBuddy,http://dogbuddy.com,"DogBuddy is a peer-to-peer marketplace for dog home boarding, connecting dog owners with vetted, insured and reviewed dog-sitters in their local area.",United Kingdom,London,2013,Pets
Doer,http://doer.nyc,"An online marketplace where users can offer their expertise to become instructors, or take classes themselves",United States,New York City,,Education
Ditto Reuse,http://www.ditto.do,"Ditto makes it easy to let someone else have the stuff that users don't use from around the house, and to find free stuff near them.",United Kingdom,London,2011,Marketplace
DirectMoney,http://www.directmoney.com.au,DirectMoney combines retail investment and lending services on a unified service platform. It enables investors to directly invest in personal loans via a regulated investment product. Investors buy units in the DirectMoney Personal Loan Income Fund. Successful borrowers enter into loan contracts managed by DirectMoney. Borrower interest is paid to investors after deducting loan losses and management fees.,Australia,Balmain,2006,Finance
Dingo,http://www.dingoapp.co.uk,"Dingo is an app that allows fans to buy and sell tickets to one another quickly, safely and conveniently.",United Kingdom,Shoreditch,2014,Events
Desktime,http://desktimeapp.com,"Desktime is a online platform and directory that helps people rent desk space by the day, week, or month.",United States,Chicago,2010,Business
Desks Near Me,http://desksnear.me,Desks Near Me is a simple and convenient way for mobile workers to find and book great work spaces.,United States,San Francisco,2012,Business
Designerz Hub,http://designerzhub.com,"Designerz Hub is Nigeria's #1 handmade marketplace - an online platform for buyers and sellers of unique handmade product to connect. It promotes products made only in Nigeria and focuses on handmade products such as fashion accessories, art, crafts, as well as craft supplies. The items include but not limited to art, photography, clothing, jewelry, edibles , ceramics, woodwork, metalwork and toys.",Nigeria,Lagos,2012,Arts & Crafts
DeliveryCrowd,http://www.deliverycrowd.com,"DeliveryCrowd is a startup company building a platform that facilitates the delivery of anything, to any place, at any time. The website and app bring together supply (Crowdies) and demand (restaurants, retailers, and individuals) to interact with each other.",United States,Philadelphia,2012,Delivery
Date My Wardrobe,http://datemywardrobe.com,"Date My Wardrobe is an online marketplace for renting, selling or showcasing high-end fashion. Date My Wardrobe believe that anyone can expand their wardrobe without spending a fortune to buy something new or even second hand.",United States,Boston,2014,Fashion
Darpdecade,http://darpdecade.com,"Darpdecade is a platform where fashion-lovers can swap and share clothes locally, connecting with like-minded people in their area.",Netherlands,Groningen,2014,Fashion
Darenta,http://darenta.ru/en,"The largest peer-to-peer car rental marketplace in Eastern Europe, Darenta is a peer-to-peer vehicle sharing marketplace that provides the insurance, technology and platform to help people securely rent their underutilized vehicles and vessels among a trusted community of members. Sharers generate income from renting while Borrowers gain access to fun and convenient rides. By connecting neighbours with matching needs, Darenta provides a sustainable solution to reduce pollution, traffic and the high cost of ownership.",Russian Federation,Moscow,2014,Transport
DARBY SMART,http://darbysmart.com,"Darby Smart is a do-it-yourself crafting startup working with top Pinterest designers of DIY accessories, fashion and home items to market and sell their projects to consumers, complete with all materials and instructions needed to complete the project.",United States,San Francisco,2013,Arts & Crafts
Dada Room,http://www.dadaroom.com,"Given Room is a new and free social flatsharing service for Latin America. Launched in November 2012 in Mexico, Given Room is based in Mexico City and accelerated by Wayra, TelefâÙnica's overall incubator.",Mexico,Mexico City,2012,Home
